CaseID,caseid2023,caseid2022,weight_pop,panel_weight_pop,L0_a,L0_b,L0_c,L0_d,L0_e,L0B_a,L0B_b,L0B_c,L0C,L0E,B2,B3,B3A_a,B3A_b,B3A_c,B3A_d,B3A_e,B3B_a,B3B_b,B3B_c,B3B_d,B3B_e,B7_a,B7_b,X11_none,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,X13,CG0,CG1A,CG2,CG7_a,CG7_b,CG7_c,CG7_d,CG7_e,CG7_f,CG7_g,CG9,CG8,CG3,CG4,CG5_a,CG5_b,CG5_c,CG5_d,CG5_e,CG5_f,CG6,D1A,D4,D48,D3B,D1E,D22_a,D22_b,D22_c,D22_d,D22_e,D22_f,D22_g,D22_h,D22_i,D3A,D3E,D28_a,D28_b,D30,D47,D34A,D36B,D44_f,D44_a,D44_b,D44_c,D44_d,D44_e,D37A,D38_a,D38_b,D38_c,D38_d,D38_f,D39,D1B,D5,D49,D41_a,D41_b,D41_c,D41_d,D41_e,D41_f,D41_g,D41_h,D41_i,GE2A,GE12_a,GE12_b,GE12_c,GE2B,GE1A,GE1B,GE1C,GE1D,GE1E_a,GE1E_b,GE1E_c,GE1E_d,GE1E_e,GE61,GE20C,GE62_a,GE62_b,GE62_c,GE62_d,GE62_e,GE62_f,GH1,GH12,GH12A,GH13_a,GH13_b,GH13_c,GH13_d,R1_a,R1_b,R1_c,R1_d,R1_e,R1_f,R1_g,R1_h,GH2,R4,R5B_a,R5B_b,R5B_c,R5B_d,R5C_a,R5C_b,R5C_c,R5C_d,R3,R11,M4,GH3_a,GH3_b,GH3_c,GH3_d,GH3_e,ND0,ND1_a,ND1_b,ND1_c,ND1_d,ND1_e,ND2,ND4_a,ND4_b,ND4_c,BK1,BK2_a,BK2_b,BK2_c,BK2_d,BK2_e,BK2_f,BK47_a,BK47_b,BK48,BK49A,BK49B,BK50,BK51,BK52_a,BK52_b,BK52_c,BK52_d,BK52_e,BK52_f,BK52_g,BK52_h,A6,A0,A7_a,A7_b,A7_c,A7_d,A7_e,A7_f,A0B,A1_a,A1_b,A1_c,A8_a,A8_b,A8_c,A8_d,A8_e,A8_f,A2,C2A,C3P,C4A,BNPL1,BNPL3,BNPL3A,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,BNPL4_g,S16_a,S16_b,S16_c,S18,S21,ED0,D1G,ED0B,ED0D,ED1,SL1,SL3,SL4A,SL4,SL6,SL7,SL8_a,SL8_b,SL8_c,SL8_d,SL8_e,SL10A,SL11,SL13,D1I,K0,K8B,K9_a,K9_b,K9_c,K9_d,K9_e,K9_f,K14_a,K14_b,K15_a,K15_b,K15_c,K15_d,K15_e,K21_a,K21_b,K21_c,K21_d,K21_e,K21_f,DC4,K5A_a,K5A_b,K5A_c,I0_a,I0_b,I0_c,I0_d,I0_e,I0_f,I40,I41_a,I41_b,I41_c,I41_d,I41_e,I9,I12,I20,I21_a,I21_b,INF4,INF3_a,INF3_b,INF3_c,INF3_d,INF3_e,INF3_f,INF3_g,EF1,EF2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5C,EF6C_a,EF6C_b,EF6C_c,EF6C_d,EF7,B0_a,B0_b,B0_c,B1_a,B1_b,FD3,E8_a,E8_b,E8_c,E1_a,E1_b,E1_c,E1_d,E1_e,E2,E2A,E2B,E4_a,E4_b,E4_c,E4_d,E4_e,E4_f,CH2A,ppage,ppagecat,ppagect4,ppeduc5,ppeducat,ppemploy,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppkid017,ppt18ov,ppcm0160,ind1,ppcm1301,UNION100,pph10001,ppfs0001,ppfs0596,ppfs1482,pphi0001,ppracem,pphispan,pppa_lgb,ppp20197,pphi0018,pph12003,pph12004,pph12005,pph12006,pph12007,pphhsize5,race_5cat,inc_4cat_50k,educ_4cat,pay_casheqv,atleast_okay,control
5858,,,16215.9837,,No,No,Yes,No,No,,,,,,Just getting by,Somewhat worse off,No,Yes,No,No,No,,,,,,Poor,Poor,,Not a concern,Major concern,Major concern,Minor concern,Minor concern,Minor concern,Not a concern,,,,,,,,,,,,,,,No,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Other work arrangement,Unsure. Please explain,,,,Don’t know,All,,No,Yes,No,Yes,No,No,,,,,,,,Not confident,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Pay rent,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Before 2023,,,,,,,,,,2200.0,No,,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Very dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,"I lost money, and none of it was recovered or refunded",800.0,,1 to 9 hours,Yes,No,No,Yes,No,No,No,No,No,Somewhat confident,Yes,Yes,No,No,No,No,No,,No,No,No,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,Some college but no degree (including currently enrolled in college),No,,,Other,No,,,,,Yes,Yes,Yes,No,No,No,,No,,No,Don’t know,,,,,,,,,,,,,,,Yes,Yes,No,No,No,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$30,000 to $34,999",No,No,No,No,,Roughly the same amount each month,,More than your income,About the same,About the same,Much worse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Made partial payment or did not pay,Made partial payment or did not pay,Made partial payment or did not pay,Made partial payment or did not pay,Under $100,Somewhat,Very little,Very little,Never,Rarely,Sometimes not enough to eat,No,No,No,No,Yes,No,Yes,Yes,No,,No,Yes,No,No,No,No,No,Less than high school degree,57,55-64,45–59,Some college or Associate's degree,Some college or Associate's degree,Working full-time,Hispanic,Female,2,A one-family house detached from any other house,"$25,000 to $49,999",Separated,Metro,West,Pacific,Rented for cash,ca,0,2,Other (Please specify),Community/Non-Profit Organizations (including Religious and Political Organizations),Private-for-profit company,No,,,,,,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,,,,,,2,Hispanic,"$25,000–$49,999",Some college/technical or associates degree,No,No,Public
5863,,,28832.9926,,Yes,No,No,No,No,,,,,,Living comfortably,About the same,,,,,,,,,,,Good,Only fair,,Not a concern,Minor concern,Not a concern,Not a concern,Not a concern,Not a concern,Not a concern,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Sometimes,Rarely,Normally work the same hours,No,All,Not that likely,No,No,Yes,No,No,No,,,,,,,,Somewhat confident,Yes,Yes,,,,,,,,,,Yes,No,Yes,Yes,No,,No,,No,,,,,,No,Less than 1 hour,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Own your home with a mortgage or loan,No,Other (please specify),Yes,No,No,No,,,,,,,,,2023,,,,,,,,,,,,1800.0,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,Very confident,Yes,No,No,No,Yes,No,No,,No,No,No,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),Yes,No,,No,Yes,No,Yes,No,No,No,No,No,No,,,Master’s degree,No,,,Education,No,,,,,Yes,No,No,Yes,No,No,No,No,,No,Yes,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Slightly comfortable,No,No,No,Yes,No,No,No,No,No,"$150,000 to $199,999",No,No,No,No,,Roughly the same amount each month,,Less than your income,Increased,About the same,Little or no effect,No,No,No,No,No,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,"$2,000 or more",Not at all,Not at all,Not at all,Always,Never,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,Yes,$500 to $999,No,Yes,No,No,No,No,No,High school degree or GED,33,25-34,30–44,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Female,2,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,il,0,2,Office and Administrative Support,Education and Tutoring,Non-profit organization including tax exempt and charitable organizations,No,Good,Another household member and I share in the decisions,,Excellent,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,2,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,
5868,5931.0,6911.0,32319.0381,55548.5128,Yes,No,No,No,No,,,,,,Living comfortably,Somewhat better off,,,,,,Yes,No,Yes,Yes,No,Good,Only fair,,Minor concern,Major concern,Major concern,Minor concern,Minor concern,Not a concern,Not a concern,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Sometimes,Sometimes,Normally work the same hours,No,,Somewhat likely,No,No,Yes,Yes,No,No,,,,,,,,Not confident,Yes,Yes,,,,,,,,,,No,,,,Yes,,No,,No,,,,,,No,1 to 4 hours,Disagree,Disagree,Disagree,Agree,Agree,Agree,Own your home with a mortgage or loan,Yes,,Yes,No,No,No,,,,,,,,,Before 2023,,,,,,,,,,,,1500.0,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"Yes, slightly",No,No,No,No,No,Much higher,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,Yes,No,No,No,No,Yes,No,,No,No,No,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,Yes,No,No,,,Doctoral degree,No,,,Life sciences,No,,,,,No,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,Yes,Very comfortable,No,No,No,Yes,Yes,No,No,No,No,"$150,000 to $199,999",No,No,No,No,,Roughly the same amount each month,,Less than your income,Increased,About the same,Somewhat worse,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,No,Yes,,,,,"$2,000 or more",Somewhat,Very little,Somewhat,Often,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Bachelor’s degree,27,25-34,18–29,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Female,2,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,va,0,2,"Life, Physical, and Social Sciences","Professional, Scientific, Technical, and Business Services",Private-for-profit company,No,Good,Another household member and I share in the decisions,,Excellent,Only English,White,"Yes, Other","Straight, that is, not gay",Yes,,No,No,No,No,No,2,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Public
5886,,,37564.3489,,No,No,No,Yes,No,,,,,,Just getting by,Somewhat better off,,,,,,Yes,No,No,No,No,Only fair,Poor,No,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,No,No,No,Several days per week,Yes,No,Yes,,Yes,,,,,,,,,,Working for someone else,,Sometimes,Sometimes,"Schedule varies, primarily based on my employer’s needs",Don’t know,,Somewhat likely,No,No,Yes,No,No,No,,,,,,,,Somewhat confident,,,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Pay rent,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,No,Before 2023,,,,,,,,,,150.0,No,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,"Yes, slightly",Yes,No,No,No,No,Somewhat higher,Yes,No,No,No,No,No,No,No,No,,No,No,,,,,,,,,,,,,,Somewhat confident,No,,,,,,,Yes,,,,,,,,,,Yes,No,,,Yes,No,,No,Yes,No,No,Yes,No,Yes,Yes,No,No,,,High school degree or GED,No,,No,,No,,,,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,No,No,No,No,No,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$5,000 to $9,999",No,No,No,No,,Occasionally varies from month to month,Yes,Less than your income,Increased,Decreased,Somewhat worse,No,Yes,Yes,No,Yes,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,$100 to $499,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,Less than high school degree,23,18-24,18–29,High school graduate (high school diploma or the equivalent GED),High school graduate (high school diploma or the equivalent GED),Working part-time,Hispanic,Female,5,"Other (mobile home, boat, RV, van, etc.)","$25,000 to $49,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,la,1,4,Sales,Retail/Stores/Shopping (including Online Retail),Private-for-profit company,No,Fair,Another household member and I share in the decisions,,Don’t know,More English than Spanish,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,5,Hispanic,"Less than $25,000",High school degree or GED,Yes,No,
5902,,6962.0,22286.7904,,Yes,Yes,No,No,No,,,,2,3 to 5,Just getting by,About the same,,,,,,,,,,,Good,Poor,,Major concern,Minor concern,Major concern,Minor concern,Major concern,Major concern,Not a concern,,No,,,No,No,No,No,No,No,Yes,,,My spouse/partner and I equally share caretaking responsibilities,No,,,,,,,,Yes,No,Yes,,Yes,,,,,,,,,,Working for someone else,,Often,Often,"Schedule varies, primarily based on my employer’s needs",No,,Very likely,No,Yes,No,Yes,No,No,,,,,,,,Not confident,Yes,Yes,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Pay rent,,,,,,,No,No,No,No,Yes,Yes,Yes,No,2024,No,No,No,No,No,,,,,1700.0,No,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,No,,,,,,Somewhat higher,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,Somewhat confident,No,,,,,,,Yes,,,,,,,,,,Yes,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Associate degree,No,,,Other,No,,,,,No,,,,,,No,,,No,No,,,,,,,,,,,,,,,No,No,No,No,No,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$35,000 to $39,999",No,No,Yes,No,Yes,Roughly the same amount each month,,More than your income,About the same,Increased,Somewhat worse,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,,,,,Under $100,Completely,Completely,Completely,Rarely,Always,"Enough, but not always the kinds of food we wanted to eat",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"$1,000 to $1,999",Yes,No,No,No,No,No,No,Don’t know,25,25-34,18–29,Some college or Associate's degree,Some college or Associate's degree,Not working,Hispanic,Female,4,Building with 2 or more apartments,"$25,000 to $49,999",Never married,Metro,South,West-South Central,Rented for cash,tx,2,2,Not asked,-2,Not asked,Not asked,Fair,Another household member and I share in the decisions,"Under $50,000",Poor,More English than Spanish,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,4,Hispanic,"$25,000–$49,999",Some college/technical or associates degree,Yes,No,Public
5910,,6970.0,37351.0484,,No,No,No,No,Yes,No,No,Yes,,,Doing okay,Somewhat better off,,,,,,Yes,No,No,No,No,Only fair,Only fair,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Never,Rarely,Normally work the same hours,Yes,All,Very likely,No,No,No,Yes,Yes,No,Was not working a year ago,,,,,,,Somewhat confident,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Pay rent,,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2024,No,No,No,No,No,,,,,1300.0,No,,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,Yes,Yes,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,,No,,,,,Yes,paid at least the minimum payment on all credit cards,Once,No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Business / management,Yes,"$25,000 to $29,999",Yes,Don’t know,No,,No,No,Yes,No,No,,,,No,Yes,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Mostly comfortable,No,No,No,Yes,Yes,No,No,No,No,"$60,000 to $74,999",No,No,No,No,,Roughly the same amount each month,,The same as your income,Increased,Increased,Somewhat worse,No,No,No,No,Yes,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,$500 to $999,Somewhat,Somewhat,Somewhat,Rarely,Always,"Enough, but not always the kinds of food we wanted to eat",No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Yes,Bachelor’s degree,22,18-24,18–29,Some college or Associate's degree,Some college or Associate's degree,Working part-time,Hispanic,Male,5,One-family condo or townhouse attached to other units,"$150,000 or more",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,il,2,3,Office and Administrative Support,Wholesale Trade,Private-for-profit company,No,Very good,Another household member makes all or most of the decisions,"Under $50,000",Good,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,5,Hispanic,"$50,000–$99,999",Bachelor's degree or more,Yes,Yes,Public
5914,5973.0,6978.0,43344.3551,180631.517,Yes,No,No,No,No,,,,,,Doing okay,About the same,,,,,,,,,,,Good,Good,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Never,Never,Normally work the same hours,No,All,Somewhat likely,No,Yes,Yes,No,No,No,,,,,,,,Not confident,Yes,Yes,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,1000.0,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Not confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,High school degree or GED,No,,No,,No,,,,,No,,,,,,No,Do not have children or grandchildren,,No,Yes,,,,,,,,,,,,,,,Yes,Yes,No,No,Yes,Yes,Not comfortable,Yes,No,No,Yes,Yes,No,No,No,No,"$150,000 to $199,999",No,No,No,No,,Roughly the same amount each month,,Less than your income,Increased,Increased,Somewhat worse,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,,,,,$500 to $999,Very well,Very well,Very well,Sometimes,Sometimes,Enough of the kinds of food we wanted to eat,Yes,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Certificate or technical degree,39,35-44,30–44,High school graduate (high school diploma or the equivalent GED),High school graduate (high school diploma or the equivalent GED),Working full-time,Hispanic,Male,2,A one-family house detached from any other house,"$50,000 to $74,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,oh,0,2,Other (Please specify),"Finance, Banking, and Insurance",Private-for-profit company,No,,,,,,White,"Yes, Mexican, Mexican-American, Chicano",,Yes,,,,,,,2,Hispanic,"$100,000 or more",High school degree or GED,No,Yes,
5922,5984.0,6995.0,25808.6823,66921.8896,Yes,Yes,No,No,No,,,,1,6 to 12,Living comfortably,Somewhat better off,,,,,,No,No,Yes,No,No,Good,Good,No,,,,,,,,,Yes,10 to 19 hours,24.0,No,No,No,No,No,No,Yes,,,My spouse/partner and I equally share caretaking responsibilities,No,,,,,,,,Yes,No,No,,No,No,Yes,No,No,No,No,No,No,No,Working for someone else,,Often,Often,Normally work the same hours,No,,Very likely,No,No,Yes,No,No,No,,,,,,,,Somewhat confident,Yes,Yes,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,2500.0,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No,,,,,,About the same,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,Yes,No,Yes,No,No,No,No,,No,No,No,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,Yes,No,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,,Master’s degree,No,,,Business / management,No,,,,,No,,,,,,No,No,,No,Don’t know,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,No,Slightly comfortable,No,No,No,Yes,No,No,No,No,No,"$100,000 to $149,999",No,No,No,No,No,Roughly the same amount each month,,Less than your income,Increased,About the same,Little or no effect,Yes,Yes,No,Yes,No,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,"$2,000 or more",Very little,Very little,Somewhat,Sometimes,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Bachelor’s degree,47,45-54,45–59,Master’s degree or higher,Bachelor's degree or higher,Working part-time,Hispanic,Female,3,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,ct,1,2,Office and Administrative Support,"Factory, Manufacturing, and Woodworking",Private-for-profit company,No,Very good,Another household member and I share in the decisions,,Excellent,More Spanish than English,White,"Yes, Other","Straight, that is, not gay",Yes,24.0,No,No,No,No,No,3,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,
5925,,,10353.1137,,No,No,No,No,Yes,No,No,Yes,,,Doing okay,About the same,,,,,,,,,,,Only fair,Only fair,,Not a concern,Major concern,Not a concern,Major concern,Minor concern,Minor concern,Major concern,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Sometimes,Sometimes,"Schedule varies, primarily based on my employer’s needs",No,,Somewhat likely,No,No,No,Yes,No,No,,,,,,,,Not confident,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,655.0,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,Very satisfied,No,,,,,,Somewhat higher,No,No,No,Yes,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Some of the time,No,,,,,,,,,,No,No,No,,,"Professional degree (e.g., MBA, MD, JD)",No,,,Business / management,Yes,"$30,000 to $39,999",Yes,$300 to $399,No,,No,No,No,Yes,No,,Do not have children or grandchildren,,No,No,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,Slightly comfortable,No,No,No,Yes,Yes,No,No,No,No,"$40,000 to $49,999",No,No,No,No,,Roughly the same amount each month,,Less than your income,About the same,Decreased,Somewhat worse,Yes,Yes,No,No,No,No,,Yes,,No,Yes,Yes,No,No,No,No,No,No,Paid in full,Paid in full,Paid in full,Does not apply (do not have bill),"$2,000 or more",Very little,Somewhat,Somewhat,Often,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,High school degree or GED,64,55-64,60+,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Male,2,One-family condo or townhouse attached to other units,"$50,000 to $74,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,tx,0,2,Computer and Mathematical,Armed Forces,Private-for-profit company,No,Fair,I make all or  most of the decisions,"Under $50,000",Excellent,More English than Spanish,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,2,Hispanic,"$25,000–$49,999",Bachelor's degree or more,No,Yes,Public
5931,5993.0,7003.0,38049.6116,78387.1257,Yes,Yes,No,No,No,,,,2,6 to 12,Just getting by,Somewhat worse off,No,Yes,No,Yes,No,,,,,,Only fair,Poor,,Minor concern,Major concern,Major concern,Major concern,Major concern,Major concern,Major concern,,No,,,No,No,No,No,Yes,No,No,,1 to 9 hours,My spouse/partner and I equally share caretaking responsibilities,No,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Working for someone else,,Rarely,Sometimes,"Schedule varies, primarily based on my employer’s needs",Don’t know,,Very likely,No,Yes,No,Yes,No,No,,,,,,,,Very confident,Yes,Yes,,,,,,,,,,Yes,No,No,Yes,No,,Yes,No,,No,Yes,No,No,No,No,1 to 4 hours,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Pay rent,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,No,2024,No,No,No,No,No,,,,,2000.0,No,,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very dissatisfied,No,,,,,,Somewhat higher,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,,,Somewhat confident,No,,,,,,,Yes,,,,,,,,,,No,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Some college but no degree (including currently enrolled in college),No,,Yes,Health,No,,,,,Yes,Yes,No,No,No,No,Yes,No,,No,No,,,,,,,,,,,,,,,No,No,No,Yes,No,No,Slightly comfortable,No,No,Yes,Yes,No,No,No,No,No,"$50,000 to $59,999",No,No,No,No,No,Roughly the same amount each month,,The same as your income,About the same,About the same,Somewhat worse,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Paid in full,Made partial payment or did not pay,Paid in full,Made partial payment or did not pay,Under $100,Very well,Completely,Completely,Rarely,Always,"Enough, but not always the kinds of food we wanted to eat",No,No,No,Yes,Yes,No,Yes,Yes,Yes,$1 to $499,Yes,Yes,No,No,No,No,No,High school degree or GED,53,45-54,45–59,High school graduate (high school diploma or the equivalent GED),High school graduate (high school diploma or the equivalent GED),Working full-time,Hispanic,Male,3,Building with 2 or more apartments,"$50,000 to $74,999",Now married,Metro,Northeast,New England,Rented for cash,ma,1,2,Other (Please specify),"Health Care (including Elder Care, Home Health Care)",Private-for-profit company,No,Fair,I make all or  most of the decisions,,Fair,More English than Spanish,White,"Yes, Puerto Rican","Straight, that is, not gay",Yes,,No,No,No,No,No,3,Hispanic,"$50,000–$99,999",Some college/technical or associates degree,No,No,Public
